AMAL,13-Jan-2025,32.13,33.07,32.13,33.03,147500
AMAT,13-Jan-2025,169.1,171.61,167.73,170.86,5462000
AMBA,13-Jan-2025,73.5,74.82,73.03,74.53,405700
AMCX,13-Jan-2025,8.85,8.955,8.29,8.45,392900
AMD,13-Jan-2025,115.28,117.48,114.41,117.32,38641100
AMDL,13-Jan-2025,6.91,7.17,6.8,7.16,6892500
AMDS,13-Jan-2025,16.73,16.73,16.3,16.3,49900
AMED,13-Jan-2025,91.68,92.27,91.68,91.97,447200
AMGN,13-Jan-2025,262.11,270.49,261.28,270.19,3364900
AMID,13-Jan-2025,33.8094,33.99,33.7946,33.93,11500
AMIX,13-Jan-2025,2.86,2.9,2.6,2.64,54600
AMKR,13-Jan-2025,25.19,25.48,24.95,25.42,982000
AMLX,13-Jan-2025,3.48,3.48,3.095,3.18,1364200
AMOD,13-Jan-2025,1.82,1.9,1.7,1.83,52100
AMODW,13-Jan-2025,0.0402,0.0497,0.036,0.0448,95100
AMPG,13-Jan-2025,2.12,2.25,1.79,1.81,3433900
AMPGW,13-Jan-2025,0.97,1,0.7102,0.74,8500
AMPH,13-Jan-2025,36.05,37.95,35.85,37.92,461300
AMPL,13-Jan-2025,10.612,10.612,10.19,10.25,426300
AMRK,13-Jan-2025,28.08,28.08,27.1,27.73,160100
AMRN,13-Jan-2025,0.56,0.56,0.51,0.51,950000
AMRX,13-Jan-2025,7.87,7.95,7.69,7.72,1486000
AMSC,13-Jan-2025,26,26.36,25.03,26.08,809000
AMSF,13-Jan-2025,48.55,49.94,48.55,49.9,113200
AMST,13-Jan-2025,3.36,3.75,2.97,3.04,278700
AMTX,13-Jan-2025,2.81,2.92,2.77,2.79,516300
AMWD,13-Jan-2025,73.44,76.43,73.24,76.25,137400
AMZD,13-Jan-2025,11.61,11.6599,11.5318,11.58,56800
AMZN,13-Jan-2025,218.06,219.4,216.47,218.46,27128400
AMZU,13-Jan-2025,41.19,41.77,40.73,41.44,637200
AMZZ,13-Jan-2025,33.95,34.37,33.5,34.11,66700
ANAB,13-Jan-2025,14.19,14.68,13.51,14.62,857600
ANDE,13-Jan-2025,42.1,43.51,42.1,43.47,277800
ANEB,13-Jan-2025,1.47,1.57,1.4574,1.51,7600
ANGH,13-Jan-2025,0.79,0.79,0.62,0.622,376700
ANGHW,13-Jan-2025,0.0182,0.02,0.0178,0.02,23700
ANGI,13-Jan-2025,1.53,1.56,1.49,1.56,911200
ANGL,13-Jan-2025,28.55,28.57,28.49,28.55,882500
ANGO,13-Jan-2025,11.61,12.58,11.52,12.46,1259300
ANIK,13-Jan-2025,15.45,15.96,15.4,15.92,76400
ANIP,13-Jan-2025,53.92,54.9707,52.735,53.93,478100
ANIX,13-Jan-2025,2.24,2.24,2.16,2.19,42900
ANL,13-Jan-2025,2.06,2.0942,1.98,1.98,6400
ANNA,13-Jan-2025,8.89,9,8.4832,8.89,8600
ANNAW,13-Jan-2025,0.2,0.2075,0.17,0.19,412100
ANNX,13-Jan-2025,4.81,4.95,4.695,4.94,1259200
ANSS,13-Jan-2025,336.62,338,335,337.19,548700
ANTE,13-Jan-2025,0.438,0.468,0.42,0.4401,63000
ANTX,13-Jan-2025,1.24,1.2752,1.23,1.26,170800
ANY,13-Jan-2025,1.06,1.06,0.98,1.03,493700
AOHY,13-Jan-2025,11.03,11.03,10.95,10.98,120400
AOSL,13-Jan-2025,35,35.55,33.63,35.26,548800
AOTG,13-Jan-2025,43.78,44.01,43.78,44.01,200
AOUT,13-Jan-2025,14.86,15.5,14.78,15.33,51200
APA,13-Jan-2025,24.03,24.86,23.88,24.38,7028600
APCX,13-Jan-2025,0.5,0.5,0.425,0.4594,384100
APCXW,13-Jan-2025,0.14,0.14,0.1126,0.1213,55100
APDN,13-Jan-2025,0.195,0.2,0.1831,0.1934,1904200
APEI,13-Jan-2025,19.19,19.8,18.8032,19.78,93800
APGE,13-Jan-2025,41,41.03,38.79,40.91,552500
API,13-Jan-2025,3.83,3.98,3.7,3.76,379200
APLD,13-Jan-2025,7.96,7.985,7.46,7.765,14610500
APLM,13-Jan-2025,10.34,10.98,10.3,10.845,14200
APLMW,13-Jan-2025,0.0093,0.0115,0.0093,0.0109,31900
APLS,13-Jan-2025,28.58,29.668,27.63,28.59,3671100
APLT,13-Jan-2025,0.672,0.6958,0.6016,0.691,9545600
APM,13-Jan-2025,1.42,1.4652,1.27,1.33,188000
APOG,13-Jan-2025,50.06,53.76,49.5769,53.4,379900
APP,13-Jan-2025,310,317.73,307.07,315.68,3797700
APPF,13-Jan-2025,242.36,243.19,238.29,242.55,283700
APPN,13-Jan-2025,33.03,33.44,32.39,33.14,323200
APPS,13-Jan-2025,1.77,1.78,1.68,1.72,2143200
APRE,13-Jan-2025,3.55,3.55,3.34,3.42,8400
APTO,13-Jan-2025,0.217,0.22,0.2051,0.2115,689200
APVO,13-Jan-2025,4.72,4.75,4.3,4.55,67900
APWC,13-Jan-2025,1.41,1.5147,1.41,1.41,10400
APYX,13-Jan-2025,1.75,1.75,1.46,1.49,51500
AQB,13-Jan-2025,0.76,0.76,0.6898,0.7402,155900
AQMS,13-Jan-2025,2.27,2.31,1.92,2.08,141000
AQST,13-Jan-2025,3.08,3.155,2.96,3.11,1090800
AQUNU,13-Jan-2025,11.95,11.95,11.95,11.95,300
AQWA,13-Jan-2025,16.17,16.3772,16.17,16.3772,2500
ARAY,13-Jan-2025,2.14,2.25,2.07,2.24,1341600
ARBB,13-Jan-2025,0.55,0.6497,0.55,0.6015,117800
ARBE,13-Jan-2025,3.76,3.77,2.67,2.8,21011000
ARBEW,13-Jan-2025,0.81,0.93,0.61,0.69,248000
ARBK,13-Jan-2025,0.59,0.59,0.5501,0.57,427400
ARBKL,13-Jan-2025,7.8,8.0422,7.65,8,30700
ARCB,13-Jan-2025,91.76,96.665,91.76,96.56,194200
ARCC,13-Jan-2025,21.9,22.11,21.86,22.1,2858400
ARCT,13-Jan-2025,17.73,17.73,16.19,17.31,391800
ARDX,13-Jan-2025,5.06,5.93,5.01,5.88,10103900
AREB,13-Jan-2025,2.09,2.43,2,2.15,683300
AREBW,13-Jan-2025,0.02,0.025,0.02,0.02,70700
AREC,13-Jan-2025,0.69,0.7179,0.6701,0.7144,215100
ARGX,13-Jan-2025,658.6,670.4,641.8,670.4,407700
ARHS,13-Jan-2025,10.81,11.005,10.34,10.86,2622000
ARKO,13-Jan-2025,6.19,6.35,6.12,6.31,210500
ARKOW,13-Jan-2025,0.45,0.4925,0.45,0.4925,300
ARKR,13-Jan-2025,14.53,14.53,14.11,14.15,2400
ARLP,13-Jan-2025,27.21,27.59,27.17,27.48,248700
ARM,13-Jan-2025,137,138.02,134.63,137.07,3325000
AROW,13-Jan-2025,25.3,26.42,25.135,26.28,59000
ARQ,13-Jan-2025,6.13,6.4,6.1,6.29,242100
ARQQ,13-Jan-2025,20,20.59,15.6,16.77,1018400
ARQQW,13-Jan-2025,2.65,2.65,1.41,2.22,543900
ARQT,13-Jan-2025,14.99,14.99,13.15,13.63,2323100
ARRY,13-Jan-2025,6.36,6.655,6.0517,6.61,5057600
ARTL,13-Jan-2025,1.15,1.18,1.102,1.15,62500
ARTNA,13-Jan-2025,29.71,29.97,29.62,29.91,39000
ARTV,13-Jan-2025,9.16,9.25,7.6,7.66,60800
ARTW,13-Jan-2025,1.85,1.89,1.67,1.71,291700
ARVN,13-Jan-2025,18.36,18.48,17.345,18.01,807900
ARVR,13-Jan-2025,37.18,37.36,37.18,37.36,200
ARWR,13-Jan-2025,18.42,18.98,17.75,18.91,2243600
ASET,13-Jan-2025,29.13,29.2775,29.13,29.2775,300
ASLE,13-Jan-2025,6.28,6.46,6.27,6.4,222800
ASMB,13-Jan-2025,15.43,15.505,14.725,14.89,23200
ASML,13-Jan-2025,721.2,729,717.59,727.41,1319500
ASND,13-Jan-2025,127.63,136.88,127.63,134.04,719400
ASNS,13-Jan-2025,1.31,1.39,1.28,1.34,369400
ASO,13-Jan-2025,57.21,57.35,55.16,55.48,1917500
ASPCR,13-Jan-2025,0.112,0.112,0.11,0.11,120000
ASPCU,13-Jan-2025,10.09,10.185,10.08,10.08,18600
ASPI,13-Jan-2025,4.42,5.05,4.32,4.95,2603800
ASPS,13-Jan-2025,0.7484,0.8826,0.6529,0.6909,172800
ASRT,13-Jan-2025,0.82,0.8371,0.8,0.8069,449600
ASRV,13-Jan-2025,2.66,2.732,2.66,2.66,3100
ASST,13-Jan-2025,0.54,0.54,0.42,0.46,988600
ASTC,13-Jan-2025,6.504,6.725,6.504,6.59,11200
ASTE,13-Jan-2025,30.95,31.87,30.95,31.31,596500
ASTH,13-Jan-2025,29.08,30.89,29.08,30.28,408300
ASTI,13-Jan-2025,2.63,2.63,2.45,2.49,37200
ASTL,13-Jan-2025,8.23,8.71,8.18,8.3,2008400
ASTLW,13-Jan-2025,1.14,1.17,1.12,1.12,27000
ASTS,13-Jan-2025,21.6,21.63,19.15,21.07,8869900
ASUR,13-Jan-2025,11.15,11.51,11.01,11.44,134400
ASYS,13-Jan-2025,5.36,5.5391,5.22,5.43,28800
ATAI,13-Jan-2025,1.51,1.52,1.375,1.42,1272700
ATAT,13-Jan-2025,25.15,25.36,24.86,24.99,384000
ATCOL,13-Jan-2025,25.15,25.248,25.0468,25.15,6800
ATEC,13-Jan-2025,10.4,11.44,10.01,10.88,5131100
ATER,13-Jan-2025,2.31,2.32,2.25,2.32,17400
ATEX,13-Jan-2025,28.6,29.4272,27.82,27.93,163600
ATGL,13-Jan-2025,17.06,17.06,14.56,14.56,37100
ATHA,13-Jan-2025,0.56,0.56,0.521,0.5311,328800
ATHE,13-Jan-2025,3.4,3.5248,3.15,3.45,17300
ATLC,13-Jan-2025,52.69,54.76,52.69,54.75,52500
ATLCL,13-Jan-2025,23.86,24.02,23.852,23.955,6700
ATLCP,13-Jan-2025,22.8906,23.11,22.8352,22.85,3900
ATLCZ,13-Jan-2025,24.97,24.9799,24.87,24.88,16500
ATLN,13-Jan-2025,5.97,5.98,4.42,4.55,98800
ATLO,13-Jan-2025,16.1,16.92,16.1,16.78,15300
ATLX,13-Jan-2025,6.64,6.74,6.36,6.55,48500
ATMCR,13-Jan-2025,0.2001,0.2009,0.1702,0.1702,3500
ATMVR,13-Jan-2025,0.16,0.17,0.16,0.17,1000
ATNF,13-Jan-2025,1.57,1.57,1.4,1.49,320800
ATNFW,13-Jan-2025,0.0097,0.0105,0.0097,0.0103,135800
ATNI,13-Jan-2025,15.07,15.87,14.97,15.7,143000
ATOM,13-Jan-2025,10.42,11.83,10.22,10.55,936100
ATOS,13-Jan-2025,0.91,0.93,0.8853,0.9248,574900
ATPC,13-Jan-2025,2.19,2.93,1.79,1.97,83988600
ATRA,13-Jan-2025,15.55,17.83,15.55,16.19,206400
ATRC,13-Jan-2025,33.07,34.65,32.53,34.39,1003200
ATRO,13-Jan-2025,15.82,16.3,15.76,16.18,232400
ATSG,13-Jan-2025,22.05,22.08,22.03,22.06,445400
ATXG,13-Jan-2025,0.74,0.75,0.639,0.6915,24500
ATXI,13-Jan-2025,1.8,2.04,1.6601,1.9,347300
ATXS,13-Jan-2025,7.33,7.51,7.16,7.46,374900
ATYR,13-Jan-2025,3.5,3.5,3.24,3.29,1085300
AUBN,13-Jan-2025,21.99,22.5628,21.6,22.05,2100
AUDC,13-Jan-2025,9.77,10.33,9.77,10.32,230900
AUID,13-Jan-2025,5.77,5.77,5.255,5.51,40900
AUMI,13-Jan-2025,36.54,36.75,36.1413,36.75,3700
AUPH,13-Jan-2025,7.94,7.955,7.58,7.77,2698900
AUR,13-Jan-2025,6.76,6.83,6.26,6.27,13148800
AURA,13-Jan-2025,7.6,7.66,7.33,7.5,165800
AUROW,13-Jan-2025,1.36,1.3644,1.11,1.16,528700
AUTL,13-Jan-2025,2.31,2.33,2.23,2.3,950900
AUUD,13-Jan-2025,0.4987,0.4995,0.46,0.488,177900
AUUDW,13-Jan-2025,0.0344,0.0344,0.021,0.0271,9500
AVAH,13-Jan-2025,4.43,4.4616,4.312,4.44,152100
AVAV,13-Jan-2025,161.28,162.34,157.25,162.11,423100
AVBP,13-Jan-2025,24.71,25.54,23.8025,25.415,100200
AVDL,13-Jan-2025,7.92,8.35,7.61,7.82,3001900
AVDX,13-Jan-2025,9.45,9.67,9.38,9.65,2147100
AVGO,13-Jan-2025,219.99,229.26,219.51,225.29,23681900
AVGR,13-Jan-2025,0.5657,0.825,0.5,0.8031,9540400
AVGX,13-Jan-2025,28.95,31.43,28.95,30.4,701100
AVIR,13-Jan-2025,3.22,3.27,3.115,3.2,766600
AVL,13-Jan-2025,31.07,33.77,31.07,32.65,259300
AVNW,13-Jan-2025,18.17,18.66,18.05,18.54,95100
AVO,13-Jan-2025,12.03,12.28,12,12.25,401400
AVPT,13-Jan-2025,15.9,16.32,15.7,16.3,823600
AVPTW,13-Jan-2025,5.27,5.48,5.04,5.37,13700
AVR,13-Jan-2025,6,6.1,5.6,5.6,82000
AVS,13-Jan-2025,19,19,18.2499,18.58,178300
AVT,13-Jan-2025,51.14,51.58,50.76,51.2,521200
AVTE,13-Jan-2025,2.52,2.55,2.49,2.5,223100
AVTX,13-Jan-2025,7.04,7.47,6.6,6.87,63500
AVXC,13-Jan-2025,48.35,48.65,48.35,48.62,6000
AVXL,13-Jan-2025,11.02,11.07,10.04,10.55,2642600
AWH,13-Jan-2025,0.63,0.6399,0.5901,0.6399,78000
AWRE,13-Jan-2025,1.6,1.73,1.5506,1.67,117100
AXDX,13-Jan-2025,1.17,1.2276,1.11,1.13,22000
AXGN,13-Jan-2025,17.79,18.49,17.17,18.25,889100
AXON,13-Jan-2025,561.4,569.33,556.68,568.68,422300
AXSM,13-Jan-2025,82.25,89.68,80.984,89.27,1879100
AXTI,13-Jan-2025,2.1,2.15,1.99,2.01,357500
AYRO,13-Jan-2025,0.68,0.69,0.6401,0.6553,120100
AYTU,13-Jan-2025,1.73,1.73,1.62,1.69,57300
AZ,13-Jan-2025,6.74,6.75,6.44,6.66,45300
AZI,13-Jan-2025,0.83,0.85,0.753,0.783,109300
AZN,13-Jan-2025,65.88,66.21,65.64,65.73,7674900
AZPN,13-Jan-2025,248.96,250.91,248.83,249.06,496800
AZTA,13-Jan-2025,51.41,52.51,50.97,52.27,394400
BABX,13-Jan-2025,14.29,14.63,14.29,14.46,116800
BACK,13-Jan-2025,1.25,1.26,1.16,1.21,19700
BACQ,13-Jan-2025,9.88,9.89,9.87,9.89,309700
BACQR,13-Jan-2025,0.184,0.184,0.184,0.184,100
BAER,13-Jan-2025,3.57,3.63,2.95,3.3,8308000
BAERW,13-Jan-2025,0.2688,0.275,0.1701,0.26,939300
BAFE,13-Jan-2025,24.74,24.9206,24.74,24.9206,78300
BAFN,13-Jan-2025,13.25,13.35,12.9,13.35,5200
